transcriptID;ncRNAName;AccessionID2;Description;PubMedID
77;Air;G9a;"G9a histone methyltransferase is recruited to chromatin by Air";18988810
77;Air;Igf2r;"Air transcription initiates within intron2 of the Igf2r gene and run antisense to it";9338788
77;Air;Slc22a2;"Gene upstream from Air. Imprinted in E11.5 placenta";11845212
77;Air;Slc22a3;"Gene upstream from Air. Imprinted in E11.5 placenta";11845212
78;BC200;PABP;"Like BC1, BC200 can inhibit translation. BC200 binds several proteins including PABP, eIF4A and the SRP9/14 heterodimer.";12162957
78;BC200;eIF4A;"	Like BC1, BC200 can inhibit translation. BC200 binds several proteins including PABP, eIF4A and the SRP9/14 heterodimer.";18316401
78;BC200;SRP9;"	Like BC1, BC200 can inhibit translation. BC200 binds several proteins including PABP, eIF4A and the SRP9/14 heterodimer.";9605471
78;BC200;SRP14;"Like BC1, BC200 can inhibit translation. BC200 binds several proteins including PABP, eIF4A and the SRP9/14 heterodimer.";9605471
79;ANRIL;CBX7;"ANRIL interacts and regulates Chromobox 7 (CBX7), a component of the Polycomb Repressor Complex 1 (PRC1).";20541999
81;BACE1AS;BACE1;"Beta-site APP-cleaving enzyme 1 isoform A. Antisense gene to BACE1AS, associated with Alzheimer's disease.";12535780
82;BC1;PABP;"BC1 binds eIF4A, eIF4B and PABP to repress translation initiation by blocking assembly of the 48S initiation complex";12162957
82;BC1;eIF4A;"BC1 binds eIF4A, eIF4B and PABP to repress translation initiation by blocking assembly of the 48S initiation complex";12451124
82;BC1;eIF4B;"BC1 binds eIF4A, eIF4B and PABP to repress translation initiation by blocking assembly of the 48S initiation complex";18316401
82;BC1;"hnRNP A2";"GA kink turn (KT) motif in BC1 5' that mediates distal dendritic targetting binds heterogeneous nuclear ribonucleoprotein
A2 ";17074884
83;BORG;BMP-2;"BORG is a target gene of BMP-2 signaling";9642273
83;BORG;OP-1;"BORG is a target gene of OP-1 signaling";9642273
84;"CCND1 associated ncRNAs";TLS;"CCND1 ncRNAs can recruit TLS to the CCND1 promoter via TLS binding to a single stranded region of the ncRNAs ";18509338
84;"CCND1 associated ncRNAs";CCND1;"ncRNAs are transcribed from the CCND1 promoter and can regulate it expression in response to specific cellular signals";18509338
86;G22;PABP;"G22 binds poly(A) binding protein";17175535
86;G22;SRP9;"G22 binds SRP9";17175535
86;G22;SRP14;"G22 binds SRP14";17175535
87;EGO;ITPR1;"EGO is transcribed antisense to an intron of ITPR1";17351112
88;Gomafu;SF1;"Gomafu UACUAAC repeats can bind to splicing factor 1 (SF1) ";21463453
89;"DHFR upstream transcripts";DHFR;"The minor promoter of DHFR originate the DHFR upstream transcripts, which regulate the expression of the gene.";17237763
89;"DHFR upstream transcripts";MSH3;NULL;12461786
89;"DHFR upstream transcripts";TFIIB;"Interacts with DHFR upstream transcripts.";17237763
90;Evf2;Dlx6;"Evf-2 starts dowstream of Dlx6 (distal-less homeobox 6) and is transcribed antisense through the Dlx6 lous without exon overlap.";16705037
90;Evf2;Evf1;"Evf-1 is an isoform of Evf-2 with an alternative start site downstream of the Dlx6 gene.";15183307
90;Evf2;Dlx2;"Evf-2 binds to Dlx2 protein in a homeodomain-specific manner and functions as a co-activator.";16705037
92;GAS5;"Glucocorticoid receptor";"Gas5 can bind and repress the action of the glucocorticoid receptor transcription factor";20124551
93;Malat1;SFRS1;"Malat1 co-localises and interacts with SFRS1 (earlier referred as SF2/ASF) SR protein.";20149803
94;mascRNA;Malat1;"mascRNA is processed from Malat1";NULL
95;HAR1A;HAR1B;"HAR1A overlaps HAR1B exon and part of an intron in the antisense direction.";16915236
96;H19;Igf2;"H19 controls imprinting and expression of Igf2.";9203585
96;H19;IMP1;"H19 can bind Igf2 mRNA binding-protein 1 (IMP1), which may allow H19 to regulate Igf2 levels post-transcriptionally.";10875929
96;H19;PRC2;"H19 and a potential antisense transcript were reported to bind the PRC2 chromatin modification complex.";21172659
97;HOTAIR;EZH2;"HOTAIR binds EZH2 to recruit the PRC2 repressive chromatin modifying complex to chromatin.";17604720
97;HOTAIR;LSD1;"HOTAIR binds LSD1 to recruit the LSD1/CoREST/REST repressive chromatin modifying complex to chromatin.";20616235
97;HOTAIR;HOXC11;"HOTAIR gene is found between and in the antisense orientation from HOXC11 and HOXC12 genes.";17604720
98;HOTAIRM1;HOXA1;"HOTAIRM is transcribed from a bidirectional promoter with HOXA1";17185360
98;HOTAIRM1;HOXA1;"HOTAIRM can regulate expression of HOXA1 but the mechanism (direct or indirect is unknown)";19144990
98;HOTAIRM1;HOXA4;"HOTAIRM can regulate expression of HOXA4 but the mechanism (direct or indirect is unknown)";19144990
98;HOTAIRM1;RING1B;"HOTAIRM1 interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
98;HOTAIRM1;PRC2;"HOTAIRM1 interacts with protein(s) of the Polycomb Repressive Complex 2";21874018
98;HOTAIRM1;CBX1;"HOTAIRM1 interacts with Chromobox protein homolog 1 (CBX1) either directly or in a complex.";21874018
99;Hsr1;eEF1A;"HSR1 binds to eEF1A upon heat shock";16554823
99;Hsr1;HSF1;"HSR1/eEF1A complex binds to HSF1 upon heat shock helping to activate HSF1.";16554823
100;pRNA;TIP5;"IGS RNAs bind TAM domain of TIP5 protein in NoRC chromatin remodeling complex, are necessary for NoRC regulation of rRNA transcription.";16678107
100;pRNA;"rRNA clusters";"IGS RNAs are transcribed from spacer sequences between rRNA genes.";"	16678107"
101;Kcnq1ot1;PRC2;"Kncq1ot1 binds the PRC2 chromatin modification complex.";18951091
101;Kcnq1ot1;G9a;"Kncq1ot1 binds the G9a histone methyltransferase.";18951091
102;Khps1a;Sphk1;"Gene overlapped by Khps1 antisense transcript.";15325271
104;MEG3;PRC2;"Meg3/Gtl2 was found to bind the PRC2 chromatin modifying complex";21172659
105;NEAT1;PSPC1;"Neat1 interacts with paraspeckles proteins PSPC1, PSF/SFPQ and NONO/P54NRB either directly or in a complex. ";19217333
105;NEAT1;PSF;"Neat1 interacts with paraspeckles proteins PSPC1, PSF/SFPQ and NONO/P54NRB either directly or in a complex. ";19188602
105;NEAT1;NONO;"Neat1 interacts with paraspeckles proteins PSPC1, PSF/SFPQ and NONO/P54NRB either directly or in a complex. ";19106332
105;NEAT1;PRC2;"Neat1 interacts with protein(s) of the Polycomb Repressive Complex 2";21874018
105;NEAT1;JARID1B;"Neat1 interacts with Lysine-specific demethylase 5B (JARID1B) either directly or in a complex. ";21874018
105;NEAT1;RING1B;"Neat1 interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
105;NEAT1;ESET;"Neat1 interacts with Histone-lysine N-methyltransferase SETDB1 (ESET) either directly or in a complex.";21874018
105;NEAT1;SUV39H1;"Neat1 interacts with Histone-lysine N-methyltransferase SUV39H1 either directly or in a complex. ";21874018
106;ncR-uPAR;PAR-1;"ncR-uPAR is predicted to interact with the PAR-1 promoter in some way to stimulate PAR-1 transcription (ie: by recruitment of transcription factors). ";12084570
108;NRON;NFAT;"nuclear factor of activated T cells";16141075
108;NRON;KPNB1;"importin-beta 1";16141075
113;"RepA transcript";Xist;"RepA transcript is internal to the full length Xist gene.";18974356
113;"RepA transcript";Ezh2;"RepA can associate with the PRC2 complex through binding Ezh2 and recruit it to the X chromosome.";18974356
114;SAF;FAS;"Fas (Apo-1/CD95) is a receptor belonging to the tumor necrosis factor (TNF) and nerve growth factor receptor family, transcribed in the opposite direction of the intronic RNA Saf.";15829500
116;SCA8;KLHL-1;"SCA8 is antisense to the KLHL-1 gene.";11919683
116;SCA8;Staufen;"SCA8 RNA associates with staufen.";14972680
117;SRA;SRAP;"SRA has a large number of isoforms,  some isoforms are able to encode the SRAP protein.";15147866
117;SRA;SRC-1;"SRA interacts either directly or through a complex with a number of other co-activator and repressor proteins, including the SRC-1 complex.";10199399
117;SRA;Sharp;"SRA interacts either directly or through a complex with a number of other co-activator and repressor proteins, including Sharp.";17710122
117;SRA;SLIRP;"SRA interacts either directly or through a complex with a number of other co-activator and repressor proteins, including SLIRP.";17710122
117;SRA;"p68 RNA helicase";"SRA interacts either directly or through a complex with a number of other co-activator and repressor proteins, including p68 RNA helicase.";17710122
117;SRA;"p72 RNA helicase";"SRA interacts either directly or through a complex with a number of other co-activator and repressor proteins, including p72 RNA helicase.";17710122
117;SRA;Pus3p;"SRA activity is regulated by pseudouridylation by pseudouridine synthase (PUS) 1p and 3p.";17170069
117;SRA;Pus1p;"SRA activity is regulated by pseudouridylation by pseudouridine synthase (PUS) 1p and 3p.";15327771
118;TERRA;TRF2;"Interacts with TERRA RNA";19716786
118;TERRA;ORC1;"Interacts with TERRA RNA";19716786
118;TERRA;HP1;"HP1-alpha and beta interact with TERRA RNA";19716786
119;Tsix;Xist;NULL;NULL
119;Tsix;PRC2;"Tsix can bind to the PRC2 chromatin modification complex.";18974356
120;TUG1;PRC2;"Tug1 associates with PRC2 (polycomb repressive complex 2) to silence target genes.";19571010
122;Xist;Ezh2;"Ezh2 – PRC2 subunit that makes direct contact with Xist in vitro.";21172659
122;Xist;YY1;"Xist RNA can bind to the YY1 protein, which acts as a tether nucleate Xist binding to the Xi";21729784
122;Xist;"hnRNP U";"hnRNP U (also known as SP120 or SAF-A) binds Xist through its RGG domain. Interaction required for Xist to localise to the Xi";20833368
122;Xist;RepA;"A short 1.6-kb RNA identified in mouse that is transcribed from within Xist and includes the Xist Repeat A motifs. Binds PRC2 ";18974356
122;Xist;Suz12;"Suz12 – PRC2 subunit that makes direct contact with Xist in vitro ";20542000
123;"Y RNAs";Ro60;"Y RNA-interacting protein.";6164096
123;"Y RNAs";La;"Y RNA-interacting protein.";6164096
124;Zeb2NAT;Zeb2;NULL;NULL
125;Zfhx2as;Zfhx2;"Zfhx2as overlaps most of Zfhx2 in the antisense direction and negatively regulates its expression.";16257534
126;Six3os;Six3;"Six3os overlaps parts of Six3 on antisense strand";15703187
132;"Alpha 250/ Alpha 280";Rps14;"Rps14 encodes a ribosomal protein that is part of the 40S subunit.";7867928
133;Xlsirts;"Cytokeratin cytoskeleton";"Xlsirts associates with, and is necessary for, the structure and integrity of the vegetal pole cytokeratin cytoskeleton";16000384
134;"VegT RNA";"Cytokeratin cytoskeleton";"VegT associates with and is necessary for the structure and integrity of the vegetal pole cytokeratin cytoskeleton.";16000384
135;"Centromeric alpha-satellite RNA";CENPC1;"Centromere protein C 1 is localised to the nucleolus or the centromere by centromeric alpha-satellite RNA
";17623812
135;"Centromeric alpha-satellite RNA";INCENP;"Inner centromere protein antigens 135/155kDa are localised to the nucleolus or the centromere by centromeric alpha-satellite RNA";17623812
135;"Centromeric alpha-satellite RNA";Survivin;"Centromeric alpha-satellite RNA is required to localised survivin to the metaphase centromere";17623812
138;Rian;PRC2;"Rian binds to the PRC2 chromatin modification complex.";"21172659, 21874018"
138;Rian;RING1B;"Interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
138;Rian;JARID1B;"Interacts with Lysine-specific demethylase 5B (JARID1B) either directly or in a complex. ";21874018
138;Rian;JARID1C;"Interacts with Lysine-specific demethylase 5C (JARID1C) either directly or in a complex.";21874018
138;Rian;CBX3;"Interacts with Chromobox protein homolog 3 (CBX3) either directly or in a complex.";21874018
140;7SL;SRP;"7SL RNA is a component of the signal recognition particle (SRP), which in mammals consists of the proteins SRP9, SRP14, SRP19, SRP54, SRP68, and SRP72.";6196367
144;LXRBSV;LXR-beta;"LXRBSV is an isoform of LXR-beta. Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear orphan receptor LXR-beta) (Ubiquitously-expressed nuclear receptor) (Retinoid X receptor interacting protein No.15).";19878653
145;Nespas;PRC2;"Nespas RNA binds to the PRC2 chromatin modification complex";21172659
147;tie-1as;tie-1;"tie-1as duplexes with tie-1 in vivo";19880500
147;tie-1as;tie-1;"tie-1as encoded opposite to the 3' of the tie1 gene";19880500
148;Msx1as;Msx1;"Antisense to Msx1as RNA.";11390985
149;MEG9;PRC2;"Binds to the PRC2 chromatin modification complex.
(Binding of an RNA from this locus has been confirmed but it hasn't been confirmed that it is in-fact Meg9/Mirg).";21172659
150;antiPeg11;Peg11/Rtl1;"antiPeg11 encoded miRNAs target Peg11";15854907
150;antiPeg11;Peg11/Rtl1;"antiPeg11 transcribed on antisense strand to Peg11";11337479
150;antiPeg11;PRC2;"antiPeg11 binds the PRC2 chromatin modification complex";21172659
152;"Beta-MHC antisense transcripts";"beta MHC";"Beta-MHC gene is entirely overlapped by the antisense transcript.";9632112
153;"H19 antisense";MRPL23;"Transcription of H19 antisense is thought to start in intron 1 of the (non-imprinted) MRPL23 gene.";18794369
153;"H19 antisense";H19;"The H19 antisense transcript overlaps H19 in the antisense direction.";18794369
154;"H19 upstream conserved 1 & 2";H19;"Huc 1 & 2 transcribed ~10kb 5' from H19";11874916
158;IPS1;miR-399;"IPS1 mimics a miR-399 target sequestering miR-399 and attenuating its effects";17643101
159;SNHG3;RCC1;"SNHG3 is upstream from RCC1 protein coding gene. Multiple SNHG3 splice isoforms exist, minority join RCC1, majority do not.";9671460
159;SNHG3;PRC2;"Snhg3 interacts with protein(s) of the Polycomb Repressive Complex 2.";21874018
159;SNHG3;RING1B;"Snhg3 interacts with protein(s) of the Polycomb Repressive Complex 1. Interacts with E3 ubiquitin-protein ligase RING2 (RING1B) either directly or through the PRC1 complex.";21874018
159;SNHG3;JARID1B;"Snhg3 interacts with Lysine-specific demethylase 5B (JARID1B) either directly or in a complex. ";21874018
159;SNHG3;SUV39H1;"Snhg3 interacts with Histone-lysine N-methyltransferase SUV39H1 either directly or in a complex. ";21874018
162;SNHG4;Matr3;"Upstream from Matrin 3 protein coding gene. A number of splice isoforms of SNHG4 exist some of which join Matrin3 and so act as an upstream initiation site for Matrin 3.";9630250
164;NTT;PDE7B;"NTT is sense intronic within PDE7B";9027504
165;TncRNA;Neat1;"TncRNA comes from the 3' end of the shorter (Men epsilon) isoform";9858482
165;TncRNA;STAT1;"TncRNA can bind STAT1 protein and reduce its translocation to the nucleus";9858482
169;"E2F4 antisense";E2F4;"E2F4 antisense transcribed from E2F4 3'UTR and can reduce levels of E2F4 protein. ";17121828
169;"E2F4 antisense";beta-catenin;"Binds to E2F4 3'UTR to stimulate expression of E2F4 antisense";17121828
169;"E2F4 antisense";TCF4;"Binds to E2F4 3'UTR to stimulate expression of E2F4 antisense";17121828
170;WT1-AS;WT1;"Wilms' tumor 1 gene";17940140
171;Hoxa11as;HOXA11;"HOXA1as transcribed from a bidirectional promoter with HOXA11";7789268
171;Hoxa11as;HOXA11;"HOXA11as is predicted to regulate the level of HOXA RNA, by an unknown mechanism.";12050232
172;Emx2os;Emx2;"Emx2os is antisense to Emx2 gene.";12573261
173;"PR antisense transcripts";agRNAs;"Antisense transcripts bind to promoter directed RNAs (agRNAs), an interaction that can affect expression of the sense gene.";18604220
