TranscriptID;section;description;order
77;Names;"Antisense Igf2r RNA";0
77;Characteristics;"108 kb (unspliced). Transcribed from an antisense promoter located in intron 2 of the Igf2r (insulin-like growth-factor type-2 receptor) gene (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/10802648"">Lyle (2000)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/9338788"">Wutz (1997)</a>). 

Also a number of spliced isoforms from 500bp to ~1.4kb (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16874305"">Seidl (2006)</a>).

Imprinted, expressed only from paternal allele (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9338788"">Wutz (1997)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10802648"">Lyle (2000)</a>).";1
77;Function;"Regulates genomic imprinting of a cluster of autosomal genes (Igf2r, Slc22a2 and Slc22a3) in cis, on mouse chromosome 17 (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11845212"">Sleutels (2002)</a>).  

Truncation of Air disrupts imprinting not only of Igf2r but also the nearby non-overlapping genes Slc22a2 and Slc22a3, leading to mice with a lower birth weight (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11845212"">Sleutels (2002)</a>).

Air RNA forms a ""cloud"" over the imprinted DNA locus, binding to chromatin. Recruits G9a histone methyltransferase to epigenetically silence Slc22a3 (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18988810"">Nagano (2008)</a>). Igf2r is not silenced by this mechanism.

Nb: Slc22a3 and Slc22a2 are only imprinted at a specific time point in placental development. Outside of this time point the Air ""cloud""/ Air chromatin binding and repressive histone modification are not found on these gene loci (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18988810"">Nagano (2008)</a>). ";3
77;Expression;"Expressed during embryonic development, in the placenta (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9338788"">Wutz (1997)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/10802648"">Lyle (2000)</a>), adult brain, lung and heart (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16874305"">Seidl (2006)</a>).

Expressed in glial cells of the developing brain but not in neurons, explains lack of Igf2r imprinting in these neurons. (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16037066"">Yamasaki (2005)</a>)

Unspliced Air is unstable, localised to the nucleus. Spliced isoforms, found in nucleus and cytoplasm, are more stable (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/16874305"">Seidl (2006)</a>).";2
77;Conservation;"All characterisation been carried out in mouse. Recently Air has been identified in human (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/18789384"">Yotova (2008)</a>) but full length transcripts have yet to be characterised.";4
77;Misc;"Nb: Genebank and NCBI Gene sequences for Air are all for the spliced mouse isoforms. See http://www.ncbi.nlm.nih.gov/gene/104103. UCSC browser link below is for transcript variant 3 which covers a similar length to the unspliced transcript.";5
78;Conservation;"Anthropoid primates (monkeys, apes and humans) (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9847409"">Skryabin (1998)</a>).

BC200, BC1 and G22 likely form a family of independently exapted repetitive elements which have evolved to carry out similar functions in different mammalian species (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/12162957"">Muddashetty (2002)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/17175535"">Khanam (2007)</a>). ";4
78;Characteristics;"200 nucleotide ncRNA (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/7684772"">Tiedge (1993)</a>) exapted from an Alu element (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2444875"">Watson (1987)</a>). Transcribed by RNA polymerase III (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/8265590"">Martignetti (1993)</a>).

Three structural domains, 5' that shares homology with Alu elements, a central A rich region and a 3' unique region (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/7684772"">Tiedge (1993)</a>). 
";1
78;Misc.;"More than 200 pseudogenes reported (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/11399078"">Kuryshev (2001)</a>).";5
78;Expression;"Expressed predominantly in different regions of the brain. Also shows low level expression in testis but not in other normal tissues examined (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/2444875"">Watson (1987)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/7684772"">Tiedge (1993)</a>, <a href=""http://www.ncbi.nlm.nih.gov/pubmed/11399078"">Kuryshev (2001)</a>). RNA sequencing of 11 human tissues confirmed up-regulation of expression in brain (hypothalamus) and low or no expression elsewhere (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/20668672"">Castle (2010)</a>).

Disregulated in cancer: expressed in a number of human tumours but not in corresponding normal tissue (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/9422992"">Chen (1997)</a>). 

Link with aging and Alzheimer disease: BC200 expression decreases with aging but is upregulated in Alzheimer's disease (AD). In AD affected brain regions, expression increased with disease severity. RNA localisation showed intense perikaryal staining, showing build up of RNA in cell body (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/17553964"">Mus (2007)</a>). 

Like BC1 ncRNA found in rodents, BC200 also suggested to localise to dendrites (<a href=""http://www.ncbi.nlm.nih.gov/pubmed/7684772"">Tiedge (1993)</a>).  ";2
