transcriptID;"concat(""<a href=http://www.ncbi.nlm.nih.gov/pubmed/"",pubmedID,"">"",pubmedID,""</a>"")";Author;Title;Year
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9847409>9847409</a>";Skryabin;"The BC200 RNA gene and its neural expression are conserved in Anthropoidea (Primates).";1998
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/7684772>7684772</a>";Tiedge;"Primary structure, neural-specific expression, and dendritic location of human BC200 RNA.";1993
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/8265590>8265590</a>";Martignetti;"BC200 RNA: a neural RNA polymerase III product encoded by a monomeric Alu element.";1993
77;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11845212>11845212</a>";Sleutels;"The non-coding Air RNA is required for silencing autosomal imprinted genes.";2002
77;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16874305>16874305</a>";Seidl;"The imprinted Air ncRNA is an atypical RNAPII transcript that evades splicing and escapes nuclear export.";2006
77;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18988810>18988810</a>";Nagano;"The Air noncoding RNA epigenetically silences transcription by targeting G9a to chromatin.";2008
81;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18587408>18587408</a>";Faghihi;"Expression of a noncoding RNA is elevated in Alzheimer's disease and drives rapid feed-forward regulation of beta-secretase.";2008
81;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20236612>20236612</a>";Nogalska;"Increased BACE1 mRNA and noncoding BACE1-antisense transcript in sporadic inclusion-body myositis muscle fibers--possibly caused by endoplasmic reticulum stress.";2010
81;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20507594>20507594</a>";Faghihi;"Evidence for natural antisense transcript-mediated inhibition of microRNA function.";2010
83;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9642273>9642273</a>";Takeda;"Identification of a novel bone morphogenetic protein-responsive gene that may function as a noncoding RNA.";1998
84;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18509338>18509338</a>";Wang;"Induced ncRNAs allosterically modify RNA-binding proteins in cis to inhibit transcription.";2008
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/2444875>2444875</a>";Watson;"Primate brain-specific cytoplasmic transcript of the Alu repeat family.";1987
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9422992>9422992</a>";Chen;"Expression of neural BC200 RNA in human tumours.";1997
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9605471>9605471</a>";Kremerskothen;"Heterodimer SRP9/14 is an integral part of the neural BC200 RNP in primate brain.";1998
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11399078>11399078</a>";Kuryshev;"Birth of a gene: locus of neuronal BC200 snmRNA in three prosimians and human BC200 pseudogenes as archives of change in the Anthropoidea lineage.";2001
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12162957>12162957</a>";Muddashetty;"Poly(A)-binding protein is associated with neuronal BC1 and BC200 ribonucleoprotein particles.";2002
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16154588>16154588</a>";Kondrashov;"Inhibitory effect of naked neural BC1 RNA or BC200 RNA on eukaryotic in vitro translation systems is reversed by poly(A)-binding protein (PABP).";2005
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17553964>17553964</a>";Mus;"Dendritic BC200 RNA in aging and in Alzheimer's disease.";2007
78;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17175535>17175535</a>";Khanam;"Two primate-specific small non-protein-coding RNAs in transgenic mice: neuronal expression, subcellular localization and binding partners.";2007
86;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17175535>17175535</a>";Khanam;"Two primate-specific small non-protein-coding RNAs in transgenic mice: neuronal expression, subcellular localization and binding partners.";2007
86;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15922354>15922354</a>";Ludwig;"An unusual primate locus that attracted two independent Alu insertions and facilitates their transcription.";2005
86;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11399078>11399078</a>";Kuryshev;"Birth of a gene: locus of neuronal BC200 snmRNA in three prosimians and human BC200 pseudogenes as archives of change in the Anthropoidea lineage.";2001
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20459797>20459797</a>";Rapicavoli;"The long noncoding RNA RNCR2 directs mouse retinal cell specification.";2010
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17623775 >17623775 </a>";Sone;"The mRNA-like noncoding RNA Gomafu constitutes a novel nuclear domain in a subset of neurons.";2007
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17066261>17066261</a>";Ishii;"Identification of a novel non-coding RNA, MIAT, that confers risk of myocardial infarction.";2006
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15226823>15226823</a>";Blackshaw;"Genomic analysis of mouse retinal development.";2004
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18184812>18184812</a>";Mercer;"Specific expression of long noncoding RNAs in the mouse brain.";2008
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20026622>20026622</a>";"Sheik Mohamed";"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.";2010
87;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17351112>17351112</a>";Wagner;"EGO, a novel, noncoding RNA gene, regulates eosinophil granule protein transcript expression.";2007
89;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17237763>17237763</a>";Martianov;"Repression of the human dihydrofolate reductase gene by a non-coding interfering transcript.";2007
90;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16705037>16705037</a>";Feng;"The Evf-2 noncoding RNA is transcribed from the Dlx-5/6 ultraconserved region and functions as a Dlx-2 transcriptional coactivator.";2006
88;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20137068>20137068</a>";Mercer;"Long noncoding RNAs in neuronal-glial fate specification and oligodendrocyte lineage maturation.";2010
91;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19150982>19150982</a>";Brookheart;"The non-coding RNA gadd7 is a regulator of lipid-induced oxidative and endoplasmic reticulum stress.";2009
92;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20421347>20421347</a>";Mourtada-Maarabouni;"Inhibition of human T-cell proliferation by mammalian target of rapamycin (mTOR) antagonists requires noncoding RNA growth-arrest-specific transcript 5 (GAS5).";2010
92;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20124551>20124551</a>";Kino;"Noncoding RNA gas5 is a growth arrest- and starvation-associated repressor of the glucocorticoid receptor.";2010
92;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18836484>18836484</a>";Mourtada-Maarabouni;"GAS5, a non-protein-coding RNA, controls apoptosis and is downregulated in breast cancer.";2009
92;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18354083>18354083</a>";Mourtada-Maarabouni;"Growth arrest in human T-cells is controlled by the non-coding RNA growth-arrest-specific transcript 5 (GAS5).";2008
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17270048>17270048</a>";Hutchinson;"A screen for nuclear transcripts identifies two linked noncoding RNAs associated with SC35 splicing domains.";2007
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16878148>16878148</a>";Lin;"A large noncoding RNA is a marker for murine hepatocellular carcinomas and a spectrum of human carcinomas.";2007
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19041754>19041754</a>";Wilusz;"3' end processing of a long nuclear-retained noncoding RNA yields a tRNA-like cytoplasmic RNA.";2008
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19625619>19625619</a>";Li;"Role of human noncoding RNAs in the control of tumorigenesis.";2009
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20137068>20137068</a>";Mercer;"Long noncoding RNAs in neuronal-glial fate specification and oligodendrocyte lineage maturation.";2010
94;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19041754>19041754</a>";Wilusz;"3' end processing of a long nuclear-retained noncoding RNA yields a tRNA-like cytoplasmic RNA.";2008
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12970751>12970751</a>";Ji;"MALAT-1, a novel noncoding RNA, and thymosin beta4 predict metastasis and survival in early-stage non-small cell lung cancer.";2003
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16441420>16441420</a>";Yamada;"Phenotypic characterization of endometrial stromal sarcoma of the uterus.";2006
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/2437583>2437583</a>";DeChiara;"Neural BC1 RNA: cDNA clones reveal nonrepetitive sequence content.";1987
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/1706516>1706516</a>";Tiedge;"Dendritic location of neural BC1 RNA.";1991
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12040034>12040034</a>";Muslimov;"Transport of Neuronal BC1 RNA in Mauthner Axons.";2002
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17699670>17699670</a>";Centonze;"The brain cytoplasmic RNA BC1 regulates dopamine D2 receptor-mediated transmission in the striatum.";2007
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12162957>12162957</a>";Muddashetty;"Poly(A)-binding protein is associated with neuronal BC1 and BC200 ribonucleoprotein particles.";2002
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16154588>16154588</a>";Kondrashov;"Inhibitory effect of naked neural BC1 RNA or BC200 RNA on eukaryotic in vitro translation systems is reversed by poly(A)-binding protein (PABP).";2005
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17175535>17175535</a>";Khanam;"Two primate-specific small non-protein-coding RNAs in transgenic mice: neuronal expression, subcellular localization and binding partners.";2007
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11350036>11350036</a>";Rozhdestvensky;"Neuronal BC1 RNA structure: evolutionary conversion of a tRNA(Ala) domain into an extended stem-loop structure.";2001
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/9169532>9169532</a>";Muslimov;"RNA transport in dendrites: a cis-acting targeting element is contained within neuronal BC1 RNA.";1997
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12944471>12944471</a>";Skryabin;"Neuronal untranslated BC1 RNA: targeted gene elimination in mice.";2003
128;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
129;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
130;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
127;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/12007417>12007417</a>";Lagos-Quintana;"Identification of tissue-specific microRNAs from mouse.";2002
127;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19182780>19182780</a>";Guttman;"Chromatin signature reveals over a thousand highly conserved large non-coding RNAs in mammals.";2009
127;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15226823>15226823</a>";Blackshaw;"Genomic analysis of mouse retinal development.";2004
127;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20137068>20137068</a>";Mercer;"Long noncoding RNAs in neuronal-glial fate specification and oligodendrocyte lineage maturation.";2010
126;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15226823>15226823</a>";Blackshaw;"Genomic analysis of mouse retinal development.";2004
126;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/15703187>15703187</a>";Alfano;"Natural antisense transcripts associated with genes involved in eye development.";2005
126;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17084678>17084678</a>";Geng;"Expression of Six3 Opposite Strand (Six3OS) during mouse embryonic development.";2007
93;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/19690017>19690017</a>";Tseng;"Metastasis associated lung adenocarcinoma transcript 1 is up-regulated in placenta previa increta/percreta and strongly associated with trophoblast-like cell invasion in vitro.";2009
112;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/11682629>11682629</a>";Ginger;"Persistent changes in gene expression induced by estrogen and progesterone in the rat mammary gland.";2001
112;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/16574773>16574773</a>";Ginger;"A noncoding RNA is a potential marker of cell fate during mammary gland development.";2006
82;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/18316401>18316401</a>";Lin;"Translational control by a small RNA: dendritic BC1 RNA targets the eukaryotic initiation factor 4A helicase mechanism.";2008
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/20137068>20137068</a>";Mercer;"Long noncoding RNAs in neuronal-glial fate specification and oligodendrocyte lineage maturation.";2010
105;"<a href=http://www.ncbi.nlm.nih.gov/pubmed/17270048>17270048</a>";Hutchinson;"A screen for nuclear transcripts identifies two linked noncoding RNAs associated with SC35 splicing domains.";2007
